earliestTime,eventCount,host,hostCount,id,latestTime,modTime,"orig_index",path,rawSize,sizeOnDiskMB,sourceCount,sourcetypeCount,state
"07/02/2013:01:04:23",436313,"mon-prod-logidx-2",474,178,"07/02/2013:02:48:23","07/03/2013:22:02:22","_internal","/data/cold/_internaldb/colddb/rb_1372751303_1372745063_178_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",97342389,"52.882812",20,,cold
"07/01/2013:16:29:01",683300,"mon-prod-logidx-2",864,178,"07/02/2013:23:39:24","07/03/2013:22:02:20","_internal","/data/cold/_internaldb/colddb/rb_1372826364_1372714141_178_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",151040462,"77.382812",17,,cold
"07/02/2013:02:38:31",436639,"mon-prod-logidx-2",470,178,"07/02/2013:04:15:31","07/02/2013:15:20:56","_internal","/data/hot/_internaldb/db/db_1372756531_1372750711_178_3516763C-B78A-4885-8543-C9A1383A5392",98163990,"46.511719",26,,warm
"07/02/2013:13:19:15",538978,"mon-prod-logidx-2",854,177,"07/02/2013:14:19:50","07/02/2013:20:17:15","_internal","/data/cold/_internaldb/colddb/rb_1372792790_1372789155_177_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",137075662,"75.531250",19,,cold
"07/01/2013:23:24:23",446678,"mon-prod-logidx-2",475,177,"07/02/2013:01:04:22","07/03/2013:22:02:02","_internal","/data/cold/_internaldb/colddb/rb_1372745062_1372739063_177_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",99643988,"53.769531",17,,cold
"07/02/2013:19:30:42",358769,"mon-prod-logidx-2",833,177,"07/02/2013:20:15:03","07/03/2013:22:01:49","_internal","/data/cold/_internaldb/colddb/rb_1372814103_1372811442_177_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",86941158,"44.148438",17,,cold
"07/02/2013:00:56:32",447242,"mon-prod-logidx-2",470,177,"07/02/2013:02:38:30","07/02/2013:14:21:53","_internal","/data/hot/_internaldb/db/db_1372750710_1372744592_177_3516763C-B78A-4885-8543-C9A1383A5392",99642536,"53.519531",17,,warm
"05/14/2013:19:56:06",45395,"mon-prod-logidx-2",79,176,"07/01/2013:16:27:21","07/02/2013:20:17:53","_internal","/data/cold/_internaldb/colddb/rb_1372714041_1368579366_176_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",4965622,"3.425781",3,,cold
"07/01/2013:21:40:25",453559,"mon-prod-logidx-2",475,176,"07/01/2013:23:24:22","07/03/2013:15:44:40","_internal","/data/cold/_internaldb/colddb/rb_1372739062_1372732825_176_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",101266670,"51.808594",17,,cold
"07/02/2013:18:30:30",500910,"mon-prod-logidx-2",848,176,"07/02/2013:19:30:41","07/03/2013:18:32:42","_internal","/data/cold/_internaldb/colddb/rb_1372811441_1372807830_176_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",126378801,"64.339844",15,,cold
