path,state,id,earliestTime,latestTime,modTime,sizeOnDiskMB,eventCount,hostCount,sourceCount,sourceTypeCount,rawSize
"/splunk/hot/enumops/db/db_1362469926_1362409572_46_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,46,"03/04/2013:15:06:12","03/05/2013:07:52:06","03/12/2013:21:22:23","596.207031",2290326,26,77,8,1024321569
"/splunk/cold/enumops/colddb/rb_1362495982_1362427583_46_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,46,"03/04/2013:20:06:23","03/05/2013:15:06:22","03/12/2013:21:22:25","829.375000",3349385,25,104,8,1471437202
"/splunk/cold/enumops/colddb/rb_1362514020_1362417425_47_9F43C70F-698B-485D-BB13-3381203ECAED",cold,47,"03/04/2013:17:17:05","03/05/2013:20:07:00","03/12/2013:22:07:26","279.757812",0,0,0,0,0
"/splunk/hot/enumops/db/db_1362514020_1362496020_47_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,47,"03/05/2013:15:07:00","03/05/2013:20:07:00","03/05/2013:04:02:14","0.046875",3,2,1,1,961
"/splunk/cold/enumops/colddb/rb_1362582369_1362441601_48_9F43C70F-698B-485D-BB13-3381203ECAED",cold,48,"03/05/2013:00:00:01","03/06/2013:15:06:09","03/12/2013:22:07:26","215.261719",0,0,0,0,0
"/splunk/hot/enumops/db/db_1362283326_1361937726_48_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,48,"02/27/2013:04:02:06","03/03/2013:04:02:06","03/05/2013:07:53:14","0.046875",10,1,5,1,553
"/splunk/cold/enumops/colddb/rb_1362316539_1362140458_49_9F43C70F-698B-485D-BB13-3381203ECAED",cold,49,"03/01/2013:12:20:58","03/03/2013:13:15:39","03/05/2013:18:21:12","0.046875",3,1,3,1,20009
"/splunk/hot/enumops/db/db_1362494955_1362469940_49_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,49,"03/05/2013:07:52:20","03/05/2013:14:49:15","03/12/2013:21:23:10","542.957031",2221250,23,51,6,969058114
"/splunk/cold/enumops/colddb/rb_1362585929_1362557729_49_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,49,"03/06/2013:08:15:29","03/06/2013:16:05:29","03/12/2013:21:22:25","536.449219",2221279,23,60,6,958329295
"/splunk/hot/enumops/db/db_1362564369_1362494956_50_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,50,"03/05/2013:14:49:16","03/06/2013:10:06:09","03/12/2013:22:07:03","722.757812",2988789,25,85,8,1295247842
"/splunk/cold/enumops/colddb/rb_1362650760_1362582370_51_9F43C70F-698B-485D-BB13-3381203ECAED",cold,51,"03/06/2013:15:06:10","03/07/2013:10:06:00","03/12/2013:21:23:14","745.132812",3090977,24,89,8,1335243739
"/splunk/hot/enumops/db/db_1362600360_1362564374_51_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,51,"03/06/2013:10:06:14","03/06/2013:20:06:00","03/12/2013:21:22:27","611.660156",2515961,23,56,6,1081525084
"/splunk/cold/enumops/colddb/rb_1362841604_1362762465_52_13DAA08D-5DB8-43DB-A6DF-9013109E8433",cold,52,"03/08/2013:17:07:45","03/09/2013:15:06:44","03/12/2013:21:22:31","830.382812",3423823,26,103,10,1478525158
"/splunk/cold/enumops/colddb/rb_1362686760_1362650761_52_9F43C70F-698B-485D-BB13-3381203ECAED",cold,52,"03/07/2013:10:06:01","03/07/2013:20:06:00","03/12/2013:21:23:14","678.546875",2774798,23,64,6,1177909156
"/splunk/hot/enumops/db/db_1362654738_1362600361_52_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,52,"03/06/2013:20:06:01","03/07/2013:11:12:18","03/12/2013:21:22:33","551.828125",2226754,24,75,8,951202554
"/splunk/cold/enumops/colddb/rb_1362456124_1362110526_52_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,52,"03/01/2013:04:02:06","03/05/2013:04:02:04","03/11/2013:20:06:40","0.042969",15,1,4,1,803
"/splunk/cold/enumops/colddb/rb_1362908572_1362841621_53_13DAA08D-5DB8-43DB-A6DF-9013109E8433",cold,53,"03/09/2013:15:07:01","03/10/2013:09:42:52","03/12/2013:22:06:26","141.902344",0,0,0,0,0
"/splunk/cold/enumops/colddb/rb_1362755160_1362686761_53_9F43C70F-698B-485D-BB13-3381203ECAED",cold,53,"03/07/2013:20:06:01","03/08/2013:15:06:00","03/12/2013:22:07:04","851.203125",3649014,26,102,8,1557853827
"/splunk/hot/enumops/db/db_1362685761_1362654739_53_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,53,"03/07/2013:11:12:19","03/07/2013:19:49:21","03/12/2013:21:22:33","588.382812",2367939,23,62,6,1007433274
"/splunk/cold/enumops/colddb/rb_1362859560_1362700801_53_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,53,"03/08/2013:00:00:01","03/09/2013:20:06:00","03/12/2013:22:07:26","274.246094",0,0,0,0,0
"/splunk/cold/enumops/colddb/rb_1363032360_1362908573_54_13DAA08D-5DB8-43DB-A6DF-9013109E8433",cold,54,"03/10/2013:09:42:53","03/11/2013:20:06:00","03/12/2013:21:22:38","1116.539062",4684192,25,138,9,2028723092
"/splunk/cold/enumops/colddb/rb_1362813075_1362755161_54_9F43C70F-698B-485D-BB13-3381203ECAED",cold,54,"03/08/2013:15:06:01","03/09/2013:07:11:15","03/12/2013:22:07:05","585.472656",2325874,26,78,9,1012577248
"/splunk/hot/enumops/db/db_1362773160_1362685762_54_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,54,"03/07/2013:19:49:22","03/08/2013:20:06:00","03/08/2013:19:54:49","1161.996094",4988561,23,126,7,2104610074
"/splunk/cold/enumops/colddb/rb_1362945998_1362859561_54_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,54,"03/09/2013:20:06:01","03/10/2013:20:06:38","03/12/2013:21:22:40","778.113281",3258510,25,112,8,1432844485
"/splunk/hot/enumops/db/db_1362859560_1362700801_55_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,55,"03/08/2013:00:00:01","03/09/2013:20:06:00","03/12/2013:21:22:43","913.113281",3771679,24,121,10,1648581291
"/splunk/cold/enumops/colddb/rb_1363032360_1362945999_55_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,55,"03/10/2013:20:06:39","03/11/2013:20:06:00","03/12/2013:21:22:46","1035.281250",4284774,25,114,8,1859399218
